Player,Nation,Pos,Age,MP,Playing_TimeMin,Playing_TimeMn/MP,Playing_TimeMin%,Playing_Time90s,StartsStarts,StartsMn/Start,StartsCompl,SubsSubs,SubsMn/Sub,SubsunSub,Team_SuccessPPM,Team_SuccessonG,Team_SuccessonGA,Team_Success+/-,Team_Success+/-90,Team_SuccessOn-Off,Team_Success_(xG)onxG,Team_Success_(xG)onxGA,Team_Success_(xG)xG+/-,Team_Success_(xG)xG+/-90,Team_Success_(xG)On-Off
Dane Scarlett,eng ENG,FW,20.90,1,12.0,12.0,0.5,0.1,0,NULL,0,1,12.0,1,3.0,1.0,0.0,1.0,7.5,7.1,0.3,0.5,-0.2,-1.52,-1.52
Will Lankshear,eng ENG,"FW,MF",19.83,3,11.0,4.0,0.5,0.1,0,NULL,0,3,4.0,12,1.33,0.0,0.0,0.0,0.0,-0.44,0.5,0.0,0.5,4.19,4.22
Oyindamola Ajayi,eng ENG,FW,19.14,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dante Cassanova,jm JAM,DF,20.66,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Devine,eng ENG,MF,20.55,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malachi Hardy,eng ENG,DF,16.94,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maeson King,eng ENG,DF,19.44,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yang Minhyeok,kr KOR,MF,18.84,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Callum Olusesi,eng ENG,MF,18.08,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Whiteman,eng ENG,GK,26.38,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Luca Williams Barnett,eng ENG,FW,16.38,0,NULL,NULL,NULL,NULL,0,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
